slug,title,description,document_year,source_filename,sort_order,published
catalogo-generale-2026,Catalogo Generale 2026,Residenziale e Commerciale,2026,C-CATALOGO-RAC-LCAC-2026.pdf,10,1
catalogo-multi-pro-2026,Catalogo Multi Pro 2026,Residenziale,2026,C-CATALOGO-MULTI-PRO-2026.pdf,20,1
catalogo-atomix-r32-2025,Catalogo Atomix R32 2025,Industriale,2025,C-CATALOGO-CAC-ATOMIX-R32-2025.pdf,30,1
catalogo-vrf-v8-2026,Catalogo VRF V8 2026,Industriale,2026,C-CATALOGO-CAC-V8-2026.pdf,40,1
catalogo-idronico-2026,Catalogo Idronico 2026,Pompe di calore e fancoil,2026,C-CATALOGO-REF-PDC-2026.pdf,50,1
ispt-r32,ISPT-R32,Mono Split,2026,ISPT-R32-2026.pdf,60,1
isax-r32,ISAX-R32,Mono Split,2026,ISAX-R32-2026.pdf,70,1
iszz-r32,ISZZ-R32,Mono Split,2026,ISZZ-R32-2026.pdf,80,1
wtmc-wtz-mw-r32,WTMC/WTZ-R32 MW-R32,Mono Split e Multi Split,2026,C-WTMC-WTZ-MW-R32-2026.pdf,90,1
serie-mit-miz-r32-2026,Serie MIT/MIZ-R32 2026,Multi Split,2026,C-LINEA-RESIDENZIALE-MIT-MIZ-MULTI-SPLIT-2026.pdf,100,1
serie-ioz-iox-r32-2026,Serie IOZ/IOX-R32 2026,Mono Split,2026,C-LINEA-COMMERCIALE-IOZ-IOX-MONO-SPLIT-2026.pdf,110,1
dimensionali-2026,Dimensionali 2026,Residenziale e Commerciale,2026,D-DIMENSIONALI-RAC-LCAC-2026.pdf,120,1
ftxm-740xit,FTXM-740XIT,Purificatore d'aria,2023,FTXM-740XIT-2023.pdf,130,1
sistema-radio,Sistema Radio,Zonificazione,2022,SISTEMA-RADIO-2022.pdf,140,1
sistemi-easy-kit,Sistemi Easy Kit,Zonificazione,2022,SISTEMI-EASY-KIT-ZONE-2022.pdf,150,1
